国办发	胡的接班人	福音会	爱女人	安眠酮	穴海	李愚蠢
中办发	钦定接班人	中国教徒	爱液	精神药品	协警	中国猪
腐败中国	习近平	统一教	按摩棒	testosterone	jq的来	台湾猪
社会主义灭亡	平近习	观音法门	拔出来	莫达非尼	党鞭	贱人
打倒中国	xjp	清海无上师	爆草	促性腺激素	主席李世民	装b
灭亡中国	习太子	盘古	包二奶	雄烯二醇	发国难财	大sb
亡党亡国	习明泽	李洪志	暴干	地塞米松	炸学校	傻逼
粉碎四人帮	老习	志洪李	暴奸	strychnine	社会黑暗	傻b
激流中国	温家宝	李宏志	暴乳	新型毒品	国之母	煞逼
特供	温加宝	轮功	爆乳	杜冷丁	国母	煞笔
特贡	温x	法轮	暴淫	兴奋剂	国姆	刹笔
特共	温jia宝	轮法功	屄	mdma	震惊全球	傻比
zf大楼	温宝宝	三去车仑	被操	海洛因	徐明	沙比
殃视	温加饱	氵去车仑	被插	海luo因	暴力虐待	欠干
贪污腐败	温加保	发论工	被干	heroin	暴力袭击	婊子
强制拆除	张培莉	法论功	逼奸	diamorphine	粮荒	我日
形式主义	温云松	法x功	仓井空	diacetylmorphine	洗脑班	卧艹
政治风波	温如春	法o功	插暴	鸦片		卧槽
太子党	温jb	法0功	操逼	阿芙蓉		爆你菊
上海帮	胡温	法一轮一功	操黑	咖啡因		艹你
北京帮	胡x	轮子功	操烂	cocain		cao你
清华帮	胡jt	车仑工力	肏你	三唑仑		你他妈
红色贵族	胡boss	法lun	肏死	美沙酮		真他妈
权贵集团	胡总	fa轮	操死	麻古		别他吗
河蟹社会	胡王八	法lg	操我	k粉		草你吗
喝血社会	hujintao	flg	厕奴	凯他敏		草你丫
九风	胡jintao	fl功	插比	ketamine		操你妈
9风	胡j涛	falungong	插b	冰毒		擦你妈
十七大	胡惊涛	大法弟子	插逼	苯丙胺		操你娘
十7大	胡景涛	大纪元	插进	cannabis		操他妈
17da	胡紧掏	dajiyuan	插你	大麻		日你妈
九学	湖紧掏	明慧网	插我	爱他死		干你妈
9学	胡紧套	明慧周报	插阴	氯胺酮		干你娘
四风	锦涛	正见网	潮吹	benzodiazepines		娘西皮
4风	hjt	新唐人	潮喷	甲基安非他明		狗操
双规	胡派	伪火	成人电影	安非他命		狗草
南街村	胡主席	退党	成人论坛	吗啡		狗杂种
最淫官员	刘永清	tuidang	成人色情	morphine		狗日的
警匪	胡海峰	退dang	成人网站	摇头丸		操你祖宗
官匪	胡海清	超越红墙	成人文学	迷药		操你全家
独夫民贼	江泽民	自fen	成人小说	乖乖粉		操你大爷
官商勾结	民泽江	真善忍	艳情小说	narcotic		妈逼
城管暴力执法	江胡	九评	成人游戏	麻醉药		你麻痹
强制捐款	江哥	9评	吃精			麻痹的
毒豺	江主席	9ping	赤裸			妈了个逼
一党执政	江书记	九ping	抽插			狗娘养
一党专制	江浙闽	jiuping	扌由插			贱比
一党专政	江沢民	藏字石	抽一插			贱b
专制政权	江浙民	集体自杀	春药			下贱
宪法法院	择民	自sha	大力抽送			死全家
胡平	则民	zi杀	大乳			全家死光
苏晓康	茳泽民	suicide	荡妇			全家不得好死
贺卫方	zemin	titor	荡女			全家死绝
谭作人	ze民	逢8必灾	盗撮			白痴
焦国标	老江	逢八必灾	多人轮			无耻
万润南	老j	逢9必乱	发浪			sb
张志新	江core	逢九必乱	放尿			杀b
辛灝年	江x	朱瑟里诺	肥逼			你吗b
高勤荣	江派	根达亚文明	粉穴			你妈的
王炳章	江zm	诺查丹玛斯	封面女郎			婊子
高智晟	jzm	人类灭亡进程表	风月大陆			贱货
司马璐	江戏子	按照马雅历法	干死你			人渣
刘晓竹	江蛤蟆	推背图	干穴			混蛋
刘宾雁	江某某	推bei图	肛交			媚外
魏京生	江贼	济世灵文	肛门			和弦
林昭的灵魂	江猪	诸世纪	龟头			兼职
别梦成灰	江氏集团	呼喊派	裹本			干你
谁是新中国	江绵恒	徒弟会	国产av			干死
讨伐中宣部	江绵康	全范围教会	好嫩			我干
异议人士	王冶坪	新约教会	豪乳			领导干部王八
民运人士	江泽慧	主神教	黑逼			工商税务两条狼
启蒙派	邓小平	被立王	后庭			公检法流氓
选国家主席	平小邓	同一教	后穴			公安秩序搞乱
民一主	xiao平	三班仆人派	虎骑			
min主	邓xp	灵仙真佛宗	花花公子			
民竹	邓晓平	天父的儿女	换妻俱乐部			
